id,name,house_id
1,Dormitory 1,1
2,Dormitory 2,1
3,Dormitory 3,1
4,Dormitory 4,1
5,Dormitory 5,1
6,Dormitory 6,1
7,Dormitory 7,1
8,Dormitory 8,1
9,Dormitory 9,1
10,Dormitory 10,1
11,Dormitory 11,1
12,Dormitory 12,1
13,Dormitory 13,1
14,Dormitory 14,1
15,Dormitory 15,1
16,Dormitory 16,1
17,Dormitory 17,1
18,Dormitory 18,1
19,Dormitory 19,1
20,Dormitory 20,1
21,Dormitory 21,1
22,Dormitory 22,1
23,Dormitory 23,1
24,Dormitory 24,1
25,Dormitory 25,1
26,Dormitory 26,1
27,Dormitory 27,1
28,Dormitory 28,1
29,Dormitory 29,1
30,Dormitory 30,1
31,Dormitory 1,2
32,Dormitory 2,2
33,Dormitory 3,2
34,Dormitory 4,2
35,Dormitory 5,2
36,Dormitory 6,2
37,Dormitory 7,2
38,Dormitory 8,2
39,Dormitory 9,2
40,Dormitory 10,2
41,Dormitory 11,2
42,Dormitory 12,2
43,Dormitory 13,2
44,Dormitory 14,2
45,Dormitory 15,2
46,Dormitory 16,2
47,Dormitory 17,2
48,Dormitory 18,2
49,Dormitory 19,2
50,Dormitory 20,2
51,Dormitory 21,2
52,Dormitory 22,2
53,Dormitory 23,2
54,Dormitory 24,2
55,Dormitory 25,2
56,Dormitory 26,2
57,Dormitory 27,2
58,Dormitory 28,2
59,Dormitory 29,2
60,Dormitory 30,2
61,Dormitory 1,3
62,Dormitory 2,3
63,Dormitory 3,3
64,Dormitory 4,3
65,Dormitory 5,3
66,Dormitory 6,3
67,Dormitory 7,3
68,Dormitory 8,3
69,Dormitory 9,3
70,Dormitory 10,3
71,Dormitory 11,3
72,Dormitory 12,3
73,Dormitory 13,3
74,Dormitory 14,3
75,Dormitory 15,3
76,Dormitory 16,3
77,Dormitory 17,3
78,Dormitory 18,3
79,Dormitory 19,3
80,Dormitory 20,3
81,Dormitory 21,3
82,Dormitory 22,3
83,Dormitory 23,3
84,Dormitory 24,3
85,Dormitory 25,3
86,Dormitory 26,3
87,Dormitory 27,3
88,Dormitory 28,3
89,Dormitory 29,3
90,Dormitory 30,3
91,Dormitory 1,4
92,Dormitory 2,4
93,Dormitory 3,4
94,Dormitory 4,4
95,Dormitory 5,4
96,Dormitory 6,4
97,Dormitory 7,4
98,Dormitory 8,4
99,Dormitory 9,4
100,Dormitory 10,4
101,Dormitory 11,4
102,Dormitory 12,4
103,Dormitory 13,4
104,Dormitory 14,4
105,Dormitory 15,4
106,Dormitory 16,4
107,Dormitory 17,4
108,Dormitory 18,4
109,Dormitory 19,4
110,Dormitory 20,4
111,Dormitory 21,4
112,Dormitory 22,4
113,Dormitory 23,4
114,Dormitory 24,4
115,Dormitory 25,4
116,Dormitory 26,4
117,Dormitory 27,4
118,Dormitory 28,4
119,Dormitory 29,4
120,Dormitory 30,4
