id;value;award_date;student_id;subject_id;teacher_id
0;A;2023-10-09;67;59;30
1;A;2023-12-07;496;56;106
2;D;2024-06-29;496;56;106
3;E;2023-11-09;496;56;106
4;D;2024-04-26;496;56;106
5;A;2024-06-10;496;56;106
6;E;2023-12-13;978;59;30
7;P;2024-05-29;978;59;30
8;P;2023-11-22;668;19;98
9;P;2023-11-07;668;19;98
10;A;2023-09-02;668;19;98
11;P;2024-06-29;668;19;98
12;E;2024-05-09;687;32;23
13;A;2024-05-11;310;45;102
14;E;2023-09-21;310;45;102
15;A;2024-06-24;310;45;102
16;O;2023-11-19;310;45;102
17;D;2024-03-10;699;6;50
18;D;2024-04-13;940;69;54
19;A;2023-12-13;940;69;54
20;P;2024-05-02;355;53;65
21;P;2023-12-30;355;53;65
22;A;2023-11-06;594;69;54
23;P;2023-10-09;594;69;54
24;E;2023-11-03;594;69;54
25;O;2023-10-06;594;69;54
26;A;2024-02-08;782;40;101
27;P;2023-09-13;782;40;101
28;A;2024-05-13;314;51;51
29;A;2024-04-04;649;41;56
30;P;2023-11-10;649;41;56
31;A;2023-11-17;649;41;56
32;E;2023-09-24;180;57;9
33;E;2023-12-07;180;57;9
34;A;2024-06-24;180;57;9
35;E;2024-03-04;985;76;48
36;A;2023-12-28;985;76;48
37;A;2023-10-17;985;76;48
38;E;2023-09-29;985;76;48
39;A;2023-09-08;808;34;11
40;A;2024-01-30;808;34;11
41;A;2023-10-05;808;34;11
42;A;2023-09-14;808;34;11
43;A;2024-03-27;808;34;11
44;P;2024-01-01;431;47;88
45;P;2024-06-29;431;47;88
46;P;2024-01-24;109;33;87
47;A;2024-02-24;109;33;87
48;A;2023-12-12;109;33;87
49;P;2023-11-21;109;33;87
50;P;2023-09-24;109;33;87
51;E;2024-01-06;451;62;68
52;P;2024-05-13;451;62;68
53;E;2023-12-11;451;62;68
54;D;2024-01-07;518;52;85
55;A;2023-10-09;518;52;85
56;P;2024-05-06;518;52;85
57;P;2023-11-14;148;24;44
58;D;2024-02-16;148;24;44
59;P;2024-02-24;140;20;28
60;E;2024-05-29;140;20;28
61;E;2023-10-11;667;31;8
62;A;2023-11-15;667;31;8
63;D;2023-11-23;667;31;8
64;P;2023-11-07;405;31;8
65;P;2023-11-07;417;5;38
66;P;2024-04-04;417;5;38
67;A;2024-01-02;417;5;38
68;P;2023-09-21;417;5;38
69;P;2024-04-28;417;5;38
70;D;2023-11-21;59;68;91
71;P;2024-06-09;59;68;91
72;P;2024-06-19;728;46;61
73;A;2024-03-18;728;46;61
74;E;2023-12-14;565;19;98
75;P;2024-02-04;565;19;98
76;A;2024-04-01;565;19;98
77;D;2023-09-15;565;19;98
78;A;2024-03-08;303;19;98
79;P;2023-09-01;303;19;98
80;E;2024-02-17;303;19;98
81;E;2024-05-28;624;74;70
82;O;2024-02-02;407;76;48
83;A;2024-06-29;368;5;38
84;E;2023-09-07;368;5;38
85;P;2024-04-27;368;5;38
86;A;2024-04-08;210;56;106
87;E;2024-05-15;210;56;106
88;P;2023-12-31;451;39;41
89;A;2023-11-11;451;39;41
90;P;2023-11-12;883;41;56
91;E;2024-03-29;883;41;56
92;O;2024-02-09;883;41;56
93;E;2023-09-17;883;41;56
94;E;2024-05-07;997;63;50
95;P;2023-09-19;997;63;50
96;A;2024-06-27;997;63;50
97;E;2023-11-27;997;63;50
98;A;2024-01-30;412;47;88
99;A;2023-12-10;412;47;88
100;A;2024-02-22;412;47;88
101;A;2024-01-30;412;47;88
102;P;2023-12-05;412;47;88
103;A;2024-01-05;759;11;22
104;P;2024-01-19;759;11;22
105;P;2023-10-18;759;11;22
106;P;2024-01-13;759;11;22
107;A;2023-09-16;770;20;28
108;P;2024-05-03;770;20;28
109;A;2023-11-30;770;20;28
110;A;2023-11-16;339;62;68
111;E;2024-06-06;339;62;68
112;A;2024-04-12;339;62;68
113;A;2023-12-26;21;18;107
114;E;2024-02-08;21;18;107
115;E;2024-05-18;21;18;107
116;A;2024-06-08;645;25;1
117;O;2023-09-10;645;25;1
118;E;2024-03-17;645;25;1
119;A;2024-04-10;174;31;8
120;P;2024-02-07;174;31;8
121;A;2023-10-07;174;31;8
122;A;2023-12-27;480;74;70
123;D;2024-05-06;480;74;70
124;A;2024-03-02;480;74;70
125;E;2023-12-19;594;59;30
126;E;2024-02-23;594;59;30
127;P;2023-12-27;594;59;30
128;E;2024-04-01;594;59;30
129;E;2023-11-23;709;46;61
130;P;2024-03-17;803;53;65
131;P;2023-12-01;378;26;96
132;A;2023-11-15;378;26;96
133;A;2023-11-23;378;26;96
134;A;2023-10-31;378;26;96
135;E;2023-11-25;826;73;42
136;D;2024-04-03;826;73;42
137;D;2023-12-25;293;67;23
138;P;2024-01-08;159;24;44
139;A;2023-10-22;159;24;44
140;A;2024-06-24;159;24;44
141;P;2023-09-14;159;24;44
142;A;2024-03-05;159;24;44
143;P;2024-03-10;723;66;82
144;E;2023-11-19;723;66;82
145;A;2024-06-09;580;17;33
146;A;2024-06-13;580;17;33
147;E;2024-05-20;580;17;33
148;A;2023-09-10;860;71;52
149;P;2024-01-28;860;71;52
150;A;2023-12-23;860;71;52
151;A;2023-09-26;860;71;52
152;A;2023-10-24;860;71;52
153;A;2023-11-16;937;25;1
154;P;2023-11-05;937;25;1
155;P;2023-10-10;937;25;1
156;P;2024-04-22;883;54;24
157;P;2023-12-12;883;54;24
158;E;2024-04-09;884;19;98
159;D;2024-06-06;884;19;98
