id;value;description;award_date;student_id;teacher_id
0;-4;Elisha Isley remained totally unsupportive.;2023-12-02;832;2
1;-6;Three days ago Ephraim Dowd used magic in the corridors between classes.;2023-12-31;414;61
2;-6;Today Lisa Haylen was  cold.;2024-06-23;325;68
3;4;A week ago Pansy Whitaker expressed  awareness.;2023-09-17;827;11
4;2;Penny Mackie presented the concept with  mastery.;2024-04-06;851;86
5;-10;Dougie Springford proved to be shockingly inflexible.;2024-05-16;412;82
6;1;Five days ago Helene Hawks remained extremely friendly.;2023-09-08;434;60
7;4;Today Sharon Benstock explained the subject matter with extraordinary skills.;2024-02-24;388;34
8;-2;Today Palmer Westcott failed to complete homework assignment.;2023-12-18;782;28
9;10;Yesterday Lillie Loates explained the subject matter.;2023-12-08;33;109
10;-3;Five days ago Francine Barrow happened to be  unhelpful.;2023-11-21;482;22
11;2;Four days ago Skyler Gilligan expressed noteworthy passion.;2023-10-02;853;101
12;-8;Today Carry Covey-Crump released a Dungbomb in the Great Hall.;2023-09-19;723;20
13;-5;A week ago Penny Atkins happened to be excessively cold.;2023-11-03;814;66
14;13;Four days ago Maddox Lawyer answered the question  knowledge of the topic.;2024-04-08;6;36
15;11;Chance Leatherwood demonstrated appreciable skills.;2023-10-05;540;93
16;-4;Six days ago Leslie Bastock started being completely condescending.;2024-04-24;185;97
17;1;Five days ago Kaylee Chanoine explained the topic.;2024-05-19;537;15
18;-1;Colleen Wornum proved to be absurdly condescending.;2023-11-12;145;48
19;2;Two days ago Christy Ivens started being extremely generous.;2024-06-26;77;13
20;-2;Six days ago Marie Hallam failed to complete homework assignment.;2023-09-01;887;68
21;-8;Today Oscar Crockett continued to be utterly rude.;2023-09-05;927;59
22;5;Four days ago Celinda Trotman expressed notable mastery.;2024-05-08;613;97
23;7;Goldie Monroe expressed  capability of the topic.;2024-04-29;245;14
24;1;Terence Quek demonstrated exceptional passion of the topic.;2023-11-06;548;39
25;-4;Four days ago Merle Vaughan-Lee was shockingly cold.;2023-12-27;709;13
26;12;Five days ago Sharon Benstock explained the spell.;2024-05-22;388;11
27;-9;Deanna Watt proved to be  critical.;2023-10-22;521;1
28;-4;A week ago Serena Wix started being exceptionally dismissive.;2023-11-08;716;27
29;-10;Two days ago Cindy Trevor-Roper remained extremely dismissive.;2024-04-12;748;81
30;-1;Renesmee Isler caused a cauldron to explode in Potions.;2023-10-31;789;95
31;5;Four days ago Bardil Adcock explained the spell with notable intuition.;2024-05-29;451;22
32;1;Five days ago Kendrick Ford happened to be thoughtfully compassionate.;2023-09-03;473;70
33;-1;Today Gulliver Younge arrived late to class.;2024-04-09;745;0
34;-9;Karyn Mott proved to be insanely condescending.;2023-11-05;710;18
35;-4;A week ago Lawrence Walmsley caused a cauldron to explode in Potions.;2024-02-10;177;104
36;5;Six days ago Imelda Golds expressed notable intuition of the subject matter.;2024-05-16;164;17
37;2;Four days ago Alaina Trotter gave a demonstration of  intuition.;2023-12-24;556;27
38;-1;Three days ago Emerald Gardiner continued to be shockingly unapproachable.;2024-04-16;21;39
39;-3;Azalea Hearnshaw was entirely arrogant.;2023-09-21;923;72
40;6;Colman Tickner started being tremendously attentive.;2023-11-22;392;55
41;-2;Today Madelyn Aleshire was caught in a restricted section without permission.;2023-11-11;437;52
42;-5;Today Agnes Arch skipped class without permission.;2024-04-19;850;73
43;-4;Today Frankie Macbeth caused a cauldron to explode in Potions.;2024-05-08;825;78
44;-2;Heath Regan happened to be incredibly impatient.;2023-11-22;973;86
45;-3;Today Melina Mitchell used a forbidden spell.;2023-11-17;707;82
46;-2;Yesterday Ian Pegler spoke disrespectfully to a professor.;2024-01-27;826;10
47;-3;Yesterday Glynis Pontifex continued to be totally inflexible.;2024-01-04;934;30
48;10;Two days ago Marcie Oatway illustrated the subject matter.;2023-09-28;848;100
49;2;Today Quendrida Wharton illustrated the subject matter with  capability.;2023-11-23;781;57
50;-8;Andy Healy remained absurdly inflexible.;2024-03-15;425;45
51;5;Four days ago Marlene Aymes illustrated the subject matter.;2023-11-18;629;33
52;-5;Three days ago Marie Hallam was insanely unsupportive.;2024-06-17;887;59
53;-6;A week ago Harriet Holcomb was found wandering after curfew.;2024-01-20;994;57
54;13;Three days ago Winston Howorth showed noteworthy awareness.;2024-06-30;303;55
55;1;A week ago Cherry Carmichael answered the question  awareness of the problem.;2024-04-04;343;71
56;-2;A week ago Miriam Greenwood remained incredibly critical.;2023-11-11;256;9
57;-6;Today Carol Anne Rakestraw attempted to enter the Forbidden Forest.;2024-01-02;446;50
58;6;Today Honor Heron remained tremendously friendly.;2024-04-28;62;86
59;-2;Three days ago Janee Eakins was  indifferent.;2024-05-09;271;95
60;-1;Arda Allingham continued to be wildly patronizing.;2024-05-29;514;93
61;7;Today Elisha Isley continued to be notably inspiring.;2024-03-03;832;88
62;-2;Five days ago Renesmee Applegate spoke disrespectfully to a professor.;2024-06-29;448;13
63;-6;Today Syd Ormandy happened to be absurdly insensitive.;2024-02-05;304;43
64;6;Two days ago Christabel Gibbons answered the question prominent understanding of the spell.;2023-10-31;58;19
65;-7;Two days ago Alicia Lord attempted to enter the Forbidden Forest.;2024-04-05;474;109
66;4;Carlena Low presented the subject matter.;2024-05-31;442;66
67;3;Two days ago Thomasina Holliday presented the problem with outstanding passion.;2024-06-24;998;94
68;-7;Today Kathleen Watrous remained surprisingly arrogant.;2023-10-08;617;80
69;6;Today Sienna Winslade showed exceptional understanding.;2024-03-11;684;64
70;1;Three days ago Simon Terral remained highly encouraging.;2024-04-08;668;107
71;6;Eliza Bromley-Davenport demonstrated appreciable capability.;2024-02-15;543;33
72;-2;A week ago Merle Barker used a forbidden spell.;2024-02-18;503;65
73;2;Addison Wolfe discussed the subject.;2023-11-08;496;110
74;-1;Eve Radcliffe was caught running in the corridors.;2023-09-14;743;89
75;7;Abigail Hickman presented the problem.;2024-01-01;25;56
76;-4;Six days ago Perry Banks disrupted class with inappropriate joke.;2024-01-03;147;62
