id;value;award_date;student_id;subject_id;teacher_id
0;P;2023-09-21;12;0;32
1;T;2023-12-19;12;0;32
2;O;2023-05-03;12;0;32
3;P;2024-05-01;12;7;51
4;T;2024-01-10;12;7;51
5;P;2024-06-20;12;7;51
6;O;2024-06-06;12;7;51
7;O;2023-02-12;12;7;51
8;O;2023-03-08;12;14;49
9;E;2024-01-24;12;14;49
10;D;2023-02-10;12;14;49
11;O;2024-03-29;12;14;49
12;T;2024-06-09;12;14;49
13;D;2023-05-09;12;21;56
14;T;2024-06-09;12;21;56
15;E;2023-02-04;12;28;86
16;E;2023-02-04;12;28;86
17;D;2023-05-11;12;28;86
18;O;2023-01-18;12;28;86
19;O;2023-01-22;12;28;86
20;A;2024-09-05;12;35;98
21;P;2024-02-17;12;35;98
22;A;2023-09-25;12;35;98
23;P;2023-11-11;12;35;98
24;D;2024-01-17;12;42;88
25;P;2024-12-02;12;42;88
26;O;2024-04-03;12;49;56
27;T;2023-10-18;12;49;56
28;T;2023-06-02;12;49;56
29;O;2023-02-12;20;0;32
30;D;2023-07-18;20;0;32
31;T;2024-02-05;20;0;32
32;O;2023-02-11;20;0;32
33;E;2024-03-30;20;7;51
34;P;2024-06-07;20;7;51
35;A;2024-01-13;20;7;51
36;T;2024-11-17;20;7;51
37;P;2024-08-28;20;7;51
38;E;2023-06-01;20;14;49
39;T;2023-05-12;20;14;49
40;E;2024-06-01;20;14;49
41;P;2023-10-04;20;14;49
42;P;2024-05-27;20;14;49
43;O;2024-03-06;20;21;56
44;E;2023-09-16;20;21;56
45;O;2024-01-11;20;21;56
46;P;2023-09-02;20;21;56
47;T;2023-12-18;20;28;86
48;P;2024-09-01;20;28;86
49;D;2023-03-19;20;28;86
50;E;2024-01-02;20;28;86
51;D;2023-11-30;20;35;98
52;E;2023-01-15;20;35;98
53;E;2023-05-24;20;35;98
54;P;2024-10-19;20;35;98
55;D;2024-06-05;20;35;98
56;E;2024-11-28;20;42;88
57;D;2024-09-27;20;42;88
58;T;2024-09-13;20;42;88
59;A;2023-08-05;20;42;88
60;T;2024-03-26;20;49;56
61;E;2023-03-13;20;49;56
62;T;2024-05-24;20;49;56
63;D;2023-12-31;31;0;32
64;D;2024-06-28;31;0;32
65;A;2024-06-19;31;0;32
66;O;2024-12-22;31;7;51
67;D;2024-11-06;31;7;51
68;T;2023-12-09;31;7;51
69;P;2024-11-17;31;14;49
70;O;2023-04-07;31;14;49
71;P;2023-05-07;31;14;49
72;P;2023-09-23;31;14;49
73;O;2024-11-07;31;21;56
