id;value;description;award_date;student_id;teacher_id
0;45;Answering correctly in class;2023-05-29;7052;60
1;-26;Using magic in corridors;2024-01-16;5871;53
2;-17;Being late to class;2023-02-19;9422;0
3;-35;Being out after curfew;2024-12-13;5692;84
4;43;Excellent classwork;2023-07-07;7737;22
5;-35;Breaking school rules;2024-05-02;7646;47
6;-16;Breaking school rules;2023-03-10;1202;32
7;-24;Disrespecting a teacher;2024-11-07;5857;93
8;-30;Being late to class;2024-09-18;9380;90
9;26;Outstanding spell performance;2023-10-25;2233;0
10;28;Helping another student;2024-08-28;560;58
11;-43;Disrespecting a teacher;2023-06-24;5762;45
12;45;Helping another student;2024-05-11;6436;36
13;-31;Breaking school rules;2023-01-24;9222;61
14;10;Outstanding spell performance;2023-11-12;2194;97
15;12;Bravery in difficult situation;2024-01-08;5070;75
16;30;Outstanding spell performance;2024-06-12;8330;76
17;-31;Breaking school rules;2024-10-05;500;28
18;49;Helping another student;2023-09-15;1400;38
19;4;Helping another student;2023-10-07;9171;35
20;35;Outstanding spell performance;2024-10-09;1816;8
21;-20;Being out after curfew;2023-06-13;8515;53
22;-39;Being late to class;2023-06-21;6342;60
23;-10;Disrespecting a teacher;2024-06-09;7671;25
24;32;Bravery in difficult situation;2024-12-15;5432;73
25;23;Helping another student;2024-08-02;607;5
26;9;Outstanding spell performance;2024-05-04;4634;85
27;-11;Disrespecting a teacher;2024-03-03;2737;78
28;24;Answering correctly in class;2024-04-25;2148;53
29;10;Outstanding spell performance;2024-08-26;5873;96
30;-6;Using magic in corridors;2023-05-24;6607;85
31;-36;Disrespecting a teacher;2023-05-27;3663;26
32;8;Excellent classwork;2024-06-04;3066;48
33;-16;Being out after curfew;2023-02-19;7641;71
34;-19;Disrespecting a teacher;2023-03-07;5093;17
35;-39;Being out after curfew;2023-11-13;9554;29
36;-33;Using magic in corridors;2023-06-30;9628;46
37;-3;Being late to class;2024-07-08;5217;23
38;-31;Being late to class;2024-07-10;462;91
39;-38;Disrespecting a teacher;2023-01-16;9326;4
40;0;Being out after curfew;2024-05-04;8088;50
41;-24;Being late to class;2024-04-08;2015;25
42;8;Bravery in difficult situation;2023-04-16;5886;56
43;1;Helping another student;2024-04-14;717;89
44;3;Excellent classwork;2023-09-09;4404;75
45;-17;Disrespecting a teacher;2023-08-18;4793;96
46;-6;Breaking school rules;2023-08-31;1018;99
47;38;Bravery in difficult situation;2024-02-14;6196;25
48;18;Outstanding spell performance;2024-04-26;7530;43
49;-48;Breaking school rules;2023-04-03;7376;81
50;3;Helping another student;2024-08-10;7996;33
51;-47;Disrespecting a teacher;2024-10-14;3753;3
52;14;Outstanding spell performance;2023-09-08;9345;36
53;-5;Being late to class;2023-03-18;861;79
54;-22;Disrespecting a teacher;2023-10-26;602;3
55;-20;Being late to class;2024-10-11;6904;44
56;11;Answering correctly in class;2024-09-10;142;71
57;28;Bravery in difficult situation;2024-03-08;7083;89
58;-4;Using magic in corridors;2023-04-24;1212;33
59;-35;Disrespecting a teacher;2024-10-27;1640;24
60;-41;Breaking school rules;2023-02-24;8524;25
61;31;Helping another student;2023-12-19;6048;0
62;-47;Using magic in corridors;2024-10-22;3016;88
63;-6;Being out after curfew;2024-05-15;7375;68
64;-19;Being late to class;2023-06-29;3468;86
65;29;Bravery in difficult situation;2023-01-13;5460;60
66;-35;Using magic in corridors;2023-02-22;7908;9
67;27;Answering correctly in class;2024-05-03;4697;86
68;-48;Being out after curfew;2024-06-12;221;86
69;34;Outstanding spell performance;2023-12-09;1857;14
70;9;Helping another student;2024-03-16;9274;13
71;17;Answering correctly in class;2024-08-07;1624;23
72;-1;Disrespecting a teacher;2024-09-02;9101;83
73;-27;Disrespecting a teacher;2023-03-14;1775;29
74;-26;Disrespecting a teacher;2024-11-14;2990;72
75;-16;Being late to class;2023-07-04;88;64
76;15;Helping another student;2024-12-17;7204;16
77;26;Outstanding spell performance;2024-08-11;7538;23
78;4;Outstanding spell performance;2024-04-06;661;87
79;-48;Being late to class;2024-10-08;268;19
80;49;Helping another student;2024-01-12;8336;45
81;15;Answering correctly in class;2023-02-17;8795;66
82;-40;Breaking school rules;2023-04-14;7792;60
83;9;Answering correctly in class;2023-04-12;6129;2
84;28;Outstanding spell performance;2023-11-05;4849;16
85;14;Excellent classwork;2023-08-08;4160;83
86;-50;Disrespecting a teacher;2023-04-11;3330;20
87;-36;Being late to class;2024-09-26;9619;32
88;30;Outstanding spell performance;2023-11-13;8242;4
89;10;Excellent classwork;2024-12-03;6378;31
90;-34;Being late to class;2024-05-24;5486;91
91;-12;Using magic in corridors;2023-03-09;3240;35
92;30;Helping another student;2024-08-05;9367;45
93;-21;Using magic in corridors;2024-04-27;923;87
94;8;Answering correctly in class;2023-10-16;1826;92
95;35;Answering correctly in class;2024-04-15;7216;97
96;-4;Being late to class;2024-09-17;2045;53
97;-39;Being out after curfew;2023-05-15;7031;36
98;44;Bravery in difficult situation;2023-03-02;8499;22
99;-3;Using magic in corridors;2023-07-16;5579;12
100;-2;Being out after curfew;2024-10-24;2517;14
101;4;Bravery in difficult situation;2024-05-07;3197;77
102;16;Excellent classwork;2023-06-10;6327;55
103;30;Outstanding spell performance;2023-10-10;9372;13
104;-37;Being out after curfew;2023-07-12;6760;83
105;-7;Disrespecting a teacher;2023-07-23;8540;25
106;50;Bravery in difficult situation;2023-01-27;6664;76
107;12;Bravery in difficult situation;2023-02-09;7202;37
108;-16;Using magic in corridors;2023-11-20;9657;48
109;-25;Breaking school rules;2023-04-20;5485;31
110;-24;Disrespecting a teacher;2023-06-18;7910;11
111;-47;Being out after curfew;2024-09-22;5540;39
112;17;Bravery in difficult situation;2024-09-10;3676;41
113;4;Answering correctly in class;2023-09-16;2311;79
114;-38;Using magic in corridors;2024-05-17;8257;18
115;15;Helping another student;2024-01-20;7953;87
116;-11;Disrespecting a teacher;2023-02-07;178;49
117;35;Helping another student;2023-08-05;5121;22
118;31;Bravery in difficult situation;2023-05-30;5658;53
119;-27;Breaking school rules;2023-05-11;9222;96
120;-9;Using magic in corridors;2023-10-27;128;42
121;-22;Being late to class;2023-05-16;6908;34
122;27;Outstanding spell performance;2023-02-05;5524;43
123;-33;Disrespecting a teacher;2024-09-07;9203;79
124;-6;Being late to class;2024-07-23;9554;84
125;43;Outstanding spell performance;2023-03-23;7480;59
126;9;Answering correctly in class;2023-11-22;4033;35
127;-33;Being late to class;2023-04-24;42;36
128;-46;Being late to class;2024-08-04;6073;35
129;-21;Disrespecting a teacher;2023-03-20;8840;86
130;45;Answering correctly in class;2024-09-18;2449;60
131;-44;Being out after curfew;2023-09-26;917;8
132;-49;Being out after curfew;2024-04-20;1389;96
133;-35;Being late to class;2024-07-29;8564;59
134;-48;Using magic in corridors;2023-09-18;5254;46
135;-41;Being out after curfew;2024-08-17;2047;45
136;-15;Breaking school rules;2023-02-11;9700;24
137;19;Excellent classwork;2024-01-23;4925;48
138;42;Outstanding spell performance;2024-10-23;7908;87
139;-39;Disrespecting a teacher;2023-10-11;9446;46
140;19;Outstanding spell performance;2023-07-06;2479;95
141;13;Outstanding spell performance;2023-09-19;3237;69
142;-22;Disrespecting a teacher;2023-09-18;304;76
143;25;Excellent classwork;2023-07-15;7770;5
144;18;Outstanding spell performance;2024-02-02;5280;90
145;-20;Disrespecting a teacher;2024-05-12;4010;67
146;-17;Breaking school rules;2023-11-02;2410;81
147;-36;Being out after curfew;2024-06-30;3087;77
148;15;Answering correctly in class;2024-08-21;532;63
149;0;Using magic in corridors;2023-09-26;8879;59
150;15;Helping another student;2023-10-27;4876;54
151;40;Outstanding spell performance;2023-05-06;7027;28
152;20;Bravery in difficult situation;2023-02-03;8861;77
153;44;Helping another student;2024-04-12;498;73
154;17;Helping another student;2023-02-28;4543;92
155;-1;Disrespecting a teacher;2024-09-30;6968;13
156;-3;Being late to class;2024-10-29;6578;26
157;27;Helping another student;2024-09-29;7071;79
158;-12;Being late to class;2023-04-04;7773;2
159;30;Bravery in difficult situation;2023-01-26;763;14
160;-29;Being out after curfew;2023-03-23;4898;58
161;9;Outstanding spell performance;2023-09-05;4392;99
162;-48;Being out after curfew;2023-06-04;5103;25
163;-48;Being out after curfew;2024-04-19;3576;28
164;14;Answering correctly in class;2024-11-22;5799;74
165;18;Excellent classwork;2023-12-01;783;47
166;-29;Being out after curfew;2023-07-26;8794;33
167;10;Excellent classwork;2024-12-01;725;42
168;-36;Disrespecting a teacher;2023-09-04;1844;91
169;10;Bravery in difficult situation;2024-02-29;8560;65
170;-22;Using magic in corridors;2023-11-06;8179;85
171;45;Helping another student;2024-07-18;8097;29
172;-25;Disrespecting a teacher;2023-11-29;7122;53
173;20;Outstanding spell performance;2024-05-21;9390;18
174;16;Outstanding spell performance;2024-12-09;9768;97
175;-17;Being out after curfew;2023-07-04;6381;6
176;28;Outstanding spell performance;2023-02-11;9181;37
177;19;Bravery in difficult situation;2024-01-22;1436;6
178;32;Outstanding spell performance;2023-03-25;4292;81
179;50;Excellent classwork;2024-08-23;2169;30
180;5;Helping another student;2023-04-05;2040;6
181;35;Helping another student;2023-04-20;5683;81
182;-38;Disrespecting a teacher;2024-09-24;5479;42
183;18;Bravery in difficult situation;2024-07-18;9627;96
184;17;Excellent classwork;2023-08-05;1862;50
185;33;Outstanding spell performance;2024-09-11;8248;86
186;26;Answering correctly in class;2023-09-02;6091;27
187;18;Helping another student;2024-06-05;1707;14
188;41;Helping another student;2024-06-07;5688;75
189;39;Bravery in difficult situation;2023-11-27;2069;40
190;-4;Disrespecting a teacher;2023-12-29;2096;94
191;15;Outstanding spell performance;2024-04-18;7573;5
192;-47;Breaking school rules;2023-11-16;1034;1
193;-44;Breaking school rules;2024-04-26;8353;28
194;27;Answering correctly in class;2023-11-10;9792;84
195;-40;Breaking school rules;2024-03-30;6057;47
196;50;Answering correctly in class;2024-02-12;6317;5
197;-37;Using magic in corridors;2023-10-21;8228;60
198;15;Answering correctly in class;2023-03-23;8851;93
199;-2;Disrespecting a teacher;2023-05-19;3270;61
200;17;Answering correctly in class;2023-10-08;7577;45
201;-35;Disrespecting a teacher;2024-03-25;3957;39
202;11;Helping another student;2023-12-15;5747;56
203;-45;Disrespecting a teacher;2023-12-10;695;7
204;-14;Breaking school rules;2023-01-23;8902;52
205;-42;Using magic in corridors;2024-05-09;6055;20
206;-3;Using magic in corridors;2023-09-06;987;16
207;-13;Being late to class;2023-10-20;7293;96
208;-32;Being out after curfew;2023-03-18;9503;92
209;-45;Disrespecting a teacher;2024-02-22;1859;4
210;5;Helping another student;2024-09-19;2480;99
211;-22;Being late to class;2023-12-16;6467;8
212;-24;Using magic in corridors;2024-10-17;4859;82
213;21;Outstanding spell performance;2024-04-18;5521;96
214;23;Outstanding spell performance;2023-02-01;3765;81
215;18;Answering correctly in class;2023-11-20;5334;19
216;-6;Using magic in corridors;2024-01-11;19;38
217;-23;Being late to class;2024-09-29;8462;95
218;10;Helping another student;2024-12-06;2330;22
219;25;Outstanding spell performance;2023-11-06;2301;71
220;-50;Being late to class;2023-08-02;247;47
221;43;Bravery in difficult situation;2023-02-19;7380;66
222;4;Answering correctly in class;2023-03-08;5014;6
223;-4;Being out after curfew;2023-02-09;7340;49
224;25;Helping another student;2024-05-28;3112;11
225;50;Excellent classwork;2024-03-10;4367;76
226;31;Answering correctly in class;2023-05-10;3367;52
227;-46;Being late to class;2024-05-17;945;28
228;26;Answering correctly in class;2024-02-03;3301;23
229;43;Bravery in difficult situation;2023-04-19;6932;58
230;31;Bravery in difficult situation;2023-06-09;2826;80
231;44;Helping another student;2024-10-01;7647;37
232;38;Excellent classwork;2024-03-11;883;13
233;-48;Using magic in corridors;2023-11-01;5439;25
234;0;Being late to class;2024-02-03;9814;79
235;18;Answering correctly in class;2023-04-27;4643;48
236;-17;Being late to class;2023-12-14;5203;82
237;42;Helping another student;2023-08-29;5273;50
238;-8;Breaking school rules;2024-07-03;1631;19
239;40;Helping another student;2024-09-17;9238;78
240;10;Answering correctly in class;2024-02-18;1961;73
241;-20;Breaking school rules;2023-04-29;1792;17
242;-28;Disrespecting a teacher;2023-03-29;1298;58
243;48;Helping another student;2023-02-15;4890;23
244;-28;Being late to class;2024-06-01;1550;59
245;3;Excellent classwork;2024-01-28;6610;12
246;-4;Breaking school rules;2024-09-13;2902;34
247;44;Bravery in difficult situation;2023-03-01;6222;57
248;-18;Breaking school rules;2023-09-25;9845;80
249;48;Answering correctly in class;2024-02-10;7527;73
250;-24;Using magic in corridors;2023-09-22;9144;83
251;42;Excellent classwork;2024-10-27;8408;28
252;-49;Being out after curfew;2023-08-23;9970;27
253;-30;Being late to class;2024-04-10;1891;36
254;3;Outstanding spell performance;2024-10-06;9821;7
255;-9;Using magic in corridors;2024-07-22;2848;83
