id;position;is_captain;student_id
0;Chaser;1;50
1;Keeper;0;464
2;Chaser;0;453
3;Chaser;0;382
4;Seeker;0;976
5;Keeper;0;649
6;Keeper;0;612
7;Seeker;0;665
8;Keeper;0;614
9;Beater;0;503
10;Beater;1;608
11;Seeker;0;720
12;Chaser;0;762
13;Seeker;0;378
14;Beater;0;715
15;Chaser;0;262
16;Seeker;0;185
17;Keeper;0;408
18;Seeker;1;841
19;Chaser;0;873
20;Beater;0;211
21;Beater;0;952
22;Seeker;0;44
23;Beater;0;582
24;Seeker;0;139
25;Seeker;0;411
26;Seeker;1;0
27;Beater;0;545
28;Beater;0;353
29;Keeper;0;120
30;Chaser;0;289
31;Beater;0;139
32;Keeper;0;4
33;Keeper;0;803
